"","Date","count","time","summary","icon","sunriseTime","sunsetTime","moonPhase","precipIntensity","precipIntensityMax","precipProbability","temperatureMin","temperatureMinTime","temperatureMax","temperatureMaxTime","apparentTemperatureMin","apparentTemperatureMinTime","apparentTemperatureMax","apparentTemperatureMaxTime","dewPoint","humidity","windSpeed","windBearing","visibility","cloudCover","pressure","precipIntensityMaxTime","precipType"
"1","2013-01-01",339,1357027200,"Clear throughout the day.","clear-day",1357055944,1357086575,0.67,0,0,0,34.19,1357084800,46.02,1357106400,27.84,1357070400,42.5,1357106400,31.83,0.8,1.26,12,9.1,0.03,1027.26,NA,NA
"2","2013-01-02",917.5,1357113600,"Clear throughout the day.","clear-day",1357142340,1357173033,0.7,0,0,0,34.19,1357142400,46.02,1357164000,27.84,1357128000,42.5,1357164000,28.23,0.69,1.68,148,9.17,0.07,1025.42,NA,NA
"3","2013-01-03",901.5,1357200000,"Light rain in the evening.","rain",1357228733,1357259494,0.73,0.005,0.0519,1,32.75,1357225200,45.26,1357254000,27.07,1357228800,39.57,1357254000,26.76,0.64,5.5,163,9.57,0.3,1021.06,1357268400,"rain"
"4","2013-01-04",856,1357286400,"Mostly cloudy throughout the day.","partly-cloudy-day",1357315124,1357345957,0.77,0.0034,0.02,1,37.73,1357286400,49.92,1357336800,32.26,1357293600,47.86,1357336800,41.84,0.91,5.38,158,8.44,0.82,1023.97,1357290000,"rain"
"5","2013-01-05",359.5,1357372800,"Light rain in the evening.","rain",1357401512,1357432421,0.8,0.0032,0.0419,1,42.74,1357455600,45.55,1357430400,36.88,1357452000,43.26,1357430400,37.24,0.76,6,161,9.46,0.92,1021.3,1357452000,"rain"
"6","2013-01-06",353,1357459200,"Light rain overnight.","rain",1357487897,1357518888,0.84,0.0013,0.01,1,41.46,1357473600,47.24,1357516800,34.83,1357473600,42.53,1357516800,40.05,0.87,10.17,175,9.73,0.96,1020.12,1357542000,"rain"
"7","2013-01-07",946.5,1357545600,"Windy in the morning.","wind",1357574279,1357605357,0.87,0.002,0.0141,1,41.89,1357545600,51.16,1357599600,35.95,1357545600,51.16,1357599600,44.2,0.89,12.14,179,9.36,0.98,1014.42,1357549200,"rain"
"8","2013-01-08",789,1357632000,"Windy in the evening, with rain until afternoon, starting again overnight.","rain",1357660658,1357691828,0.9,0.0143,0.0778,1,42.66,1357668000,53.2,1357704000,37.99,1357671600,53.2,1357704000,44.71,0.89,11.72,176,7.29,1,1014.35,1357714800,"rain"
"9","2013-01-09",673.5,1357718400,"Rain in the morning.","rain",1357747035,1357778300,0.94,0.0488,0.1856,1,37.46,1357754400,51.16,1357718400,29.07,1357754400,51.16,1357718400,40.01,0.9,8.67,181,8.54,1,1009.11,1357729200,"rain"
"10","2013-01-10",905,1357804800,"Mostly cloudy throughout the day.","partly-cloudy-day",1357833409,1357864774,0.97,2e-04,0.0041,0.41,36.38,1357887600,39.44,1357866000,32.01,1357880400,35.45,1357866000,34.38,0.87,3.22,260,9.06,0.9,1017.8,1357858800,"rain"
"11","2013-01-11",785,1357891200,"Overcast in the morning.","partly-cloudy-night",1357919780,1357951250,0.01,0,0,0,31.41,1357923600,37.49,1357948800,24.21,1357927200,37.49,1357948800,26.49,0.74,3.52,30,7.07,0.36,1024.78,NA,NA
"12","2013-01-12",338.5,1357977600,"Partly cloudy in the morning.","partly-cloudy-day",1358006149,1358037727,0.04,0,0,0,29.08,1358002800,37.03,1358031600,25.08,1357977600,31.45,1358031600,25.8,0.77,2.11,81,9.24,0.18,1028.91,NA,NA
